Id	cg	cs	ci	tgs	tgi	tsi
1	0.4	0.4	0.4	0.4	0.4	0.4
2	0.8	0.4	0.4	0.4	0.4	0.4
3	0.4	0.8	0.4	0.4	0.4	0.4
4	0.4	0.4	0.8	0.4	0.4	0.4
5	0.8	0.8	0.4	0.4	0.4	0.4
6	0.8	0.8	0.4	0.7	0.4	0.4
7	0.8	0.4	0.8	0.4	0.4	0.4
8	0.8	0.4	0.8	0.4	0.7	0.4
9	0.4	0.8	0.8	0.4	0.4	0.4
10	0.4	0.8	0.8	0.4	0.4	0.7
11	0.8	0.8	0.8	0.4	0.4	0.4
12	0.8	0.8	0.8	0.7	0.4	0.4
13	0.8	0.8	0.8	0.4	0.4	0.7
14	0.8	0.8	0.8	0.4	0.7	0.4
15	0.8	0.8	0.8	0.7	0.7	0.7
16	1	1	1	1	1	1
17	0	0	0	1	1	1
18	0.8	0.8	0.8	1	1	1
19	0.2	0.2	0.2	1	1	1
20	1	1	1	0	0	0
21	0	0	0	0	0	0
22	0.8	0.8	0.8	0	0	0
23	0.2	0.2	0.2	0	0	0
24	0.8	0.8	0.8	0.2	0.2	0.2
25	0.2	0.2	0.2	0.2	0.2	0.2
26	1	1	0.2	1	0	0
27	0.2	1	1	0	0	1
28	1	1	0.8	1	0	0
29	1	1	0.5	1	0	0
30	0.8	0.8	0.8	0.7	0.7	0.7
31	0.7	0.7	0.7	0.7	0.7	0.7
32	0.6	0.6	0.6	0.7	0.7	0.7
33	0.5	0.5	0.5	0.7	0.7	0.7
34	0.2	0.2	0.2	0.7	0.7	0.7
