Index	Element	x	y	z
1	C	-1.779336	1.657019	-1.439558
2	C	-1.117941	2.902509	-1.396266
3	C	-1.578567	3.868604	-0.495597
4	C	-2.677247	3.641675	0.346946
5	C	-3.309463	2.3996	0.293742
6	C	-2.856566	1.40989	-0.60473
7	N	-4.429085	1.948472	1.02137
8	C	-3.667111	0.156141	-0.3209
9	C	-4.975482	0.824188	0.219696
10	C	-4.048942	-0.838451	-1.449036
11	C	-5.778773	1.3809	-1.00611
12	C	-6.24212	0.245183	-1.951862
13	C	-5.579289	-1.070169	-1.512036
14	N	-3.397069	-2.087486	-1.09273
15	C	-3.47036	-3.107794	-2.113418
16	C	-4.956765	-3.46336	-2.309357
17	C	-5.830056	-2.209129	-2.527036
18	C	-2.796056	-0.726729	0.64986
19	C	-2.223545	-1.799561	-0.292307
20	C	-6.089817	-1.401992	-0.085353
21	C	-5.960793	-0.182695	0.88596
22	C	-5.682599	-0.622881	2.321214
23	O	-5.227167	-1.694229	2.677484
24	O	-6.07153	0.321686	3.199501
25	C	-5.867971	0.016616	4.593373
26	C	-5.323789	2.95687	1.578414
27	C	0.087651	3.173907	-2.284216
28	C	1.422655	2.863516	-1.618282
29	C	1.767685	1.533205	-1.304386
30	C	2.324929	3.881463	-1.293588
31	C	3.54861	3.620122	-0.656159
32	C	3.866053	2.296966	-0.351297
33	C	2.967044	1.261634	-0.670957
34	N	5.01525	1.789055	0.284323
35	C	3.628311	-0.058993	-0.307003
36	C	4.621882	0.459892	0.804457
37	C	2.795999	-1.218022	0.299467
38	C	3.803933	0.599074	2.131232
39	C	3.343626	-0.787835	2.646586
40	C	3.547536	-1.829994	1.52444
41	N	2.51715	-2.152723	-0.877507
42	C	2.083379	-3.532386	-0.445289
43	C	2.909652	-4.143898	0.682027
44	C	2.949777	-3.198621	1.889414
45	C	4.242541	-0.677395	-1.625041
46	C	3.792236	-2.137982	-1.682639
47	C	5.086329	-1.935312	1.322319
48	C	5.758845	-0.541745	1.158062
49	C	6.977258	-0.607083	0.240593
50	O	7.181646	-1.437781	-0.625983
51	O	7.864749	0.356224	0.544465
52	C	9.064047	0.392514	-0.256188
53	C	5.783993	2.702357	1.122989
54	O	1.520792	-1.608559	-1.658392
55	H	-1.446445	0.896841	-2.143088
56	H	-1.081261	4.835722	-0.456542
57	H	-3.02547	4.427795	1.010029
58	H	-3.709271	-0.465372	-2.437314
59	H	-5.144549	2.090553	-1.544259
60	H	-6.63603	1.947307	-0.626787
61	H	-7.333365	0.132334	-1.933232
62	H	-5.9682	0.476521	-2.988876
63	H	-3.025632	-2.776898	-3.075461
64	H	-2.909243	-3.990458	-1.785131
65	H	-5.298385	-4.006056	-1.419435
66	H	-5.073023	-4.142101	-3.164003
67	H	-5.617648	-1.80794	-3.529283
68	H	-6.892309	-2.489119	-2.526559
69	H	-3.404057	-1.22139	1.405803
70	H	-2.025197	-0.137135	1.15249
71	H	-1.355515	-1.423111	-0.866896
72	H	-1.894146	-2.697073	0.246215
73	H	-7.139502	-1.715056	-0.133876
74	H	-5.516121	-2.236571	0.3208
75	H	-6.924963	0.334029	0.949892
76	H	-4.807766	-0.152983	4.795727
77	H	-6.226067	0.889996	5.137464
78	H	-6.438512	-0.871343	4.87564
79	H	-5.698136	3.668149	0.825655
80	H	-4.789761	3.526766	2.345912
81	H	-6.168025	2.465471	2.061879
82	H	0.083721	4.225364	-2.595558
83	H	-0.007783	2.577205	-3.201253
84	H	1.113452	0.701153	-1.54767
85	H	2.071115	4.912378	-1.532305
86	H	4.217052	4.437722	-0.404296
87	H	1.796422	-0.912867	0.612986
88	H	4.423487	1.104431	2.878925
89	H	2.94208	1.245509	1.942379
90	H	3.920095	-1.095314	3.527073
91	H	2.290826	-0.758574	2.950737
92	H	1.047088	-3.388058	-0.131872
93	H	2.081689	-4.137651	-1.354802
94	H	2.441641	-5.095791	0.958865
95	H	3.922469	-4.388864	0.34082
96	H	1.925341	-3.054556	2.26054
97	H	3.522818	-3.645425	2.710826
98	H	3.829304	-0.137442	-2.476723
99	H	5.326067	-0.600239	-1.673268
100	H	3.519316	-2.480431	-2.680026
101	H	4.522642	-2.824736	-1.251524
102	H	5.351492	-2.556832	0.46721
103	H	5.504668	-2.435858	2.202558
104	H	6.162713	-0.217681	2.122912
105	H	9.620628	-0.541117	-0.147522
106	H	9.643676	1.231134	0.127713
107	H	8.813964	0.547841	-1.3082
108	H	6.611965	2.165473	1.585784
109	H	6.212413	3.48979	0.494611
110	H	5.178282	3.183685	1.906455
