Conformation	E (kcal/mol)	E rel (kcal/mol)	Ki	P	Pc
1	191.577	0	1	25.21 %	25.21 %
2	191.64	0.1	0.899116427114351	22.67 %	47.88 %
3	191.8	0.2	0.686314322862062	17.30 %	65.18 %
4	192.09	0.5	0.420658564473487	10.60 %	75.78 %
5	192.458	0.9	0.226024821193616	5.70 %	81.48 %
6	192.635	1.1	0.167648972821546	4.23 %	85.71 %
7	193.083	1.5	0.0787011105564245	1.98 %	87.69 %
8	193.127	1.6	0.073067680569656	1.84 %	89.53 %
9	193.25	1.7	0.0593685480426698	1.50 %	91.03 %
10	193.297	1.7	0.0548405304742682	1.38 %	92.41 %
11	193.404	1.8	0.0457785508040733	1.15 %	93.57 %
12	193.547	2	0.0359609815844857	0.91 %	94.47 %
13	193.602	2	0.0327726917810074	0.83 %	95.30 %
14	193.772	2.2	0.0245973567017337	0.62 %	95.92 %
15	193.779	2.2	0.0243084280950565	0.61 %	96.53 %
16	193.807	2.2	0.0231862558517542	0.58 %	97.12 %
17	194.064	2.5	0.0150255006402063	0.38 %	97.50 %
18	194.064	2.5	0.0150255006402063	0.38 %	97.88 %
19	194.065	2.5	0.0150001592881804	0.38 %	98.25 %
20	194.088	2.5	0.0144289597131449	0.36 %	98.62 %
21	194.14	2.6	0.0132164506321262	0.33 %	98.95 %
22	194.296	2.7	0.010156738937912	0.26 %	99.21 %
23	194.354	2.8	0.00920949092748949	0.23 %	99.44 %
24	194.424	2.8	0.00818314023451881	0.21 %	99.65 %
25	194.512	2.9	0.00705356893721765	0.18 %	99.82 %
26	194.516	2.9	0.00700610422087098	0.18 %	100.00 %
